hubmap_id,organ,n_markers,assay,uuid,download_url
HBM622.STKS.394,LARGE_INTESTINE,52,CODEX,61e800af49715fa70ec90a7c53f3c389,
HBM573.TTLG.748,LARGE_INTESTINE,52,CODEX,8eeca1a98041348bb14fd652b766661e,
HBM363.LLBL.252,LARGE_INTESTINE,52,CODEX,e3b831b46c84bc66e88fa410cf89dc2d,
HBM679.NNNK.283,LARGE_INTESTINE,52,CODEX,96f5c73df89d553cda6547b508aee854,
HBM447.MNKW.592,LARGE_INTESTINE,52,CODEX,efaecdc1565274900386733cf1661ca6,
HBM438.JXJW.249,LARGE_INTESTINE,57,CODEX,3f3fc7fbd6c9ddffd3cd96e07b946252,
HBM792.FFJT.499,LARGE_INTESTINE,52,CODEX,a0946b9a99b0940c5e9eb7587deafee5,
HBM439.WJDV.974,LARGE_INTESTINE,57,CODEX,153b0fe8575ff1a17768319ba6dbaa5c,
HBM334.QWFV.953,LARGE_INTESTINE,57,CODEX,98d54824c0eb9843865dfc3a53b4cff4,
HBM964.FPNH.767,LARGE_INTESTINE,54,CODEX,59f7fa785f9dbd46f45758e22454e912,
HBM465.ZNVW.226,LARGE_INTESTINE,52,CODEX,fa789beae7f1a0ad9947de50c329e3db,
HBM683.NRPR.962,LARGE_INTESTINE,57,CODEX,52ef1c33a11494b43d8979e0e6057caa,
HBM488.CNNZ.544,LARGE_INTESTINE,52,CODEX,9d85dec83a12ae900c5b7603cb74d6ca,
HBM823.RJNG.364,LARGE_INTESTINE,52,CODEX,9e28cdbdb5bc5b3cf7299f13635eebc9,
HBM852.NKST.623,LARGE_INTESTINE,52,CODEX,aabf05e28a70e7da1fc2558d9a2d82af,
HBM462.JKCN.863,LARGE_INTESTINE,57,CODEX,5b8a17e92defe510fa91b3a97a728831,
HBM433.MQRQ.278,LARGE_INTESTINE,52,CODEX,f1da42ceecf7aee4022a656c45566c18,
HBM938.KMNW.825,LARGE_INTESTINE,57,CODEX,c5334b682758b141c481f87ae010b537,
HBM429.LLRT.546,LARGE_INTESTINE,52,CODEX,2958cd11dad5ee8bcf7bf8d4b3e4a128,
HBM729.XTBN.693,LARGE_INTESTINE,54,CODEX,4887c97a8f862dfd0927fca83772da67,
HBM288.BBKK.828,LARGE_INTESTINE,52,CODEX,7500e7f02589f4b4e55641f09723c3de,
HBM242.LSCK.393,LARGE_INTESTINE,52,CODEX,a702c94500a2f737b722e34f6df7e7dd,
HBM742.NHHQ.357,LARGE_INTESTINE,52,CODEX,98c1bc0a44802108a6dcf8ce281628a7,
HBM235.VKNJ.237,LARGE_INTESTINE,52,CODEX,c8ee4bd8f052b50fab2e9e9365793374,
HBM824.XGWZ.857,LARGE_INTESTINE,52,CODEX,763635933fb185b0174ea09273b36583,
HBM424.STVV.842,LARGE_INTESTINE,54,CODEX,ec8f9880b5dda90c3c6017ba670097a9,
